unitName,unitDesc,unitAbbr,unitAbbrMathJax,unitType,parentSI,multiplierToSI,constantToSI,measScale,referenceURL,referenceCitation,startUseDateDPS
cubicMeter,"cubic meter",m^3,"$$ m^3 $$",volume,cubicMeter,1,NULL,ratio,NULL,NULL,2012-01-01
cubicMetersPerHour,"cubic meters per hour",m^3/h,"$$ m^3{cdot}h^{-1} $$",volumetricRate,cubicMetersPerSecond,3600,NULL,ratio,NULL,NULL,2015-10-15
cubicMetersPerKilogram,"cubic meters per kilogram",m^3/kg,"$$ m^3{cdot}kg^{-1} $$",volumetricMass,cubicMetersPerKilogram,1,NULL,ratio,NULL,NULL,2012-01-01
cubicMetersPerSecond,"cubic meters per second",m^3/s,"$$ m^3{cdot}s^{-1} $$",volumetricRate,cubicMetersPerSecond,1,NULL,ratio,NULL,NULL,2012-01-01
cubicMicrometer,"cubic micrometer",um^3,"$$ {mu}m^3 $$",volume,cubicMeter,1e-18,NULL,ratio,NULL,NULL,2016-10-01
cubicMicrometersPerGram,"cubic micrometers per gram",um^3/kg,"$$ {mu}m^3{cdot}g^{-1} $$",volumetricMass,cubicMetersPerKilogram,0.000000000000001,NULL,ratio,NULL,NULL,2012-01-01
day,"one day, 86400 seconds",d,"$$ d $$",time,second,86400,NULL,ratio,NULL,NULL,2015-01-19
decigram,"0.0001 kilograms",dg,"$$ dg $$",mass,kilogram,0.0001,NULL,ratio,NULL,NULL,2012-01-01
decimalDegree,"latitude and longitude coordinates expressed as decimal fractions",DD,"$$ DD $$",angle,radian,0.0174533,NULL,ratio,NULL,NULL,2012-01-01
decimeter,"0.1 meters",dm,"$$ dm $$",length,meter,0.1,NULL,ratio,NULL,NULL,2012-01-01
decisecond,"0.1 seconds",ds,"$$ ds $$",time,second,0.1,NULL,ratio,NULL,NULL,2012-01-01
decisiemensPerMeter,"decisiemens per meter",dS/m,"$$ dS{cdot}m^{-1} $$",conductance,siemensPerMeter,0.1,NULL,ratio,NULL,NULL,2015-02-18
degree,"360 degrees comprise a unit circle",deg,"$$ ...^{circ} $$",angle,radian,0.0174533,NULL,ratio,NULL,NULL,2012-01-01
degreesPerSecond,"degrees per second",deg/s,"$$ ^(circ){cdot}m^(-2) $$",NULL,NULL,NULL,NULL,ratio,NULL,NULL,NULL
